listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3781,2024-06-22,f,$125.00,,29,1125
3781,2024-06-23,f,$125.00,,29,1125
3781,2024-06-24,f,$125.00,,29,1125
3781,2024-06-25,f,$125.00,,29,1125
3781,2024-06-26,f,$125.00,,29,1125
3781,2024-06-27,f,$125.00,,29,1125
3781,2024-06-28,f,$125.00,,29,1125
3781,2024-06-29,f,$125.00,,29,1125
3781,2024-06-30,f,$125.00,,29,1125
3781,2024-07-01,f,$125.00,,29,1125
3781,2024-07-02,f,$125.00,,29,1125
3781,2024-07-03,f,$125.00,,29,1125
3781,2024-07-04,f,$125.00,,29,1125
3781,2024-07-05,f,$125.00,,29,1125
3781,2024-07-06,f,$125.00,,29,1125
3781,2024-07-07,f,$125.00,,29,1125
3781,2024-07-08,f,$125.00,,29,1125
3781,2024-07-09,f,$125.00,,29,1125
3781,2024-07-10,f,$125.00,,29,1125
3781,2024-07-11,f,$125.00,,29,1125
3781,2024-07-12,f,$125.00,,29,1125
3781,2024-07-13,f,$125.00,,29,1125
3781,2024-07-14,f,$125.00,,29,1125
3781,2024-07-15,f,$125.00,,29,1125
3781,2024-07-16,f,$125.00,,29,1125
3781,2024-07-17,f,$125.00,,29,1125
3781,2024-07-18,f,$125.00,,29,1125
3781,2024-07-19,f,$125.00,,29,1125
3781,2024-07-20,f,$125.00,,29,1125
3781,2024-07-21,f,$125.00,,29,1125
3781,2024-07-22,f,$125.00,,29,1125
3781,2024-07-23,f,$125.00,,29,1125
3781,2024-07-24,f,$125.00,,29,1125
3781,2024-07-25,f,$125.00,,29,1125
3781,2024-07-26,f,$125.00,,29,1125
3781,2024-07-27,f,$125.00,,29,1125
3781,2024-07-28,f,$125.00,,29,1125
3781,2024-07-29,f,$125.00,,29,1125
3781,2024-07-30,f,$125.00,,29,1125
3781,2024-07-31,f,$125.00,,29,1125
3781,2024-08-01,f,$125.00,,29,1125
3781,2024-08-02,f,$125.00,,29,1125
3781,2024-08-03,f,$125.00,,29,1125
3781,2024-08-04,f,$125.00,,29,1125
3781,2024-08-05,f,$125.00,,29,1125
3781,2024-08-06,f,$125.00,,29,1125
3781,2024-08-07,f,$125.00,,29,1125
3781,2024-08-08,f,$125.00,,29,1125
3781,2024-08-09,t,$125.00,,29,1125
3781,2024-08-10,t,$125.00,,29,1125
3781,2024-08-11,t,$125.00,,29,1125
3781,2024-08-12,t,$125.00,,29,1125
3781,2024-08-13,t,$125.00,,29,1125
3781,2024-08-14,t,$125.00,,29,1125
3781,2024-08-15,t,$125.00,,29,1125
3781,2024-08-16,t,$125.00,,29,1125
3781,2024-08-17,t,$125.00,,29,1125
3781,2024-08-18,t,$125.00,,29,1125
3781,2024-08-19,t,$125.00,,29,1125
3781,2024-08-20,t,$125.00,,29,1125
3781,2024-08-21,t,$125.00,,29,1125
3781,2024-08-22,t,$125.00,,29,1125
3781,2024-08-23,t,$125.00,,29,1125
3781,2024-08-24,t,$125.00,,29,1125
3781,2024-08-25,t,$125.00,,29,1125
3781,2024-08-26,t,$125.00,,29,1125
3781,2024-08-27,t,$125.00,,29,1125
